347_l1,2
347_r1,4
353_l1,3
353_l2,3
354_l1,4
354_r1,3
366_l1,3
366_r1,3
366_r2,3
368_l2,2
371_r2,3
377_l1,3
377_l2,3
383_l1,3
383_l2,2
383_r1,3
383_r2,2
384_l1,3
384_r2,3
386_l1,0
386_r1,0
386_r2,0
387_l1,3
389_l1,3
389_l2,3
389_r2,3
391_l1,4
391_l2,4
391_r1,0
391_r2,0
396_l1,2
398_l1,3
398_l2,3
398_r1,3
403_r1,3
408_l1,2
408_r1,2
409_l1,3
409_r1,3
411_l2,3
411_r1,3
411_r2,3
412_l1,3
412_r1,3
417_l1,0
417_l2,0
417_r1,0
417_r2,0
418_l2,3
418_r2,0
419_l1,0
419_l2,0
419_r1,0
419_r2,0
420_l1,0
420_l2,0
420_r1,0
420_r2,0
421_l1,0
421_l2,0
421_r1,0
421_r2,0
423_l2,1
423_r1,2
424_l1,0
424_l2,0
424_r1,0
424_r2,0
425_l1,0
425_l2,0
425_r1,0
427_l2,2
427_r2,2
428_l2,3
428_r2,2
429_l1,0
429_l2,0
429_r1,0
429_r2,0
432_l1,3
432_l2,2
434_l1,0
434_l2,0
434_r1,0
434_r2,0
435_r2,3
437_l1,0
437_l2,0
437_r2,0
438_l1,0
438_l2,0
438_r1,0
438_r2,0
440_l1,2
441_l1,2
441_l2,2
442_l1,2
442_l2,2
442_r1,2
443_l1,3
443_l2,3
443_r1,3
444_l1,3
444_l2,3
444_r1,3
445_l1,0
445_l2,0
445_r1,0
445_r2,0
446_l2,3
446_r1,3
447_l1,0
447_l2,0
447_r2,0
448_r1,0
448_r2,0
449_l1,0
449_l2,0
449_r1,0
449_r2,0
450_l2,3
450_r2,1
451_l1,0
451_l2,0
451_r1,0
451_r2,0
452_l1,0
452_l2,0
452_r2,0
453_l1,0
453_l2,0
453_r1,0
453_r2,0
454_l1,0
454_l2,0
454_r1,0
454_r2,0
456_l1,0
456_l2,0
456_r1,0
456_r2,0
457_l2,2
457_r1,2
457_r2,2
458_l1,1
458_l2,0
458_r1,1
458_r2,1
459_l2,2
460_l1,0
460_l2,0
460_r1,0
460_r2,0
461_l2,1
462_l1,0
462_l2,0
462_r1,0
462_r2,0
463_r1,0
463_r2,0
464_l1,0
464_l2,0
464_r1,0
464_r2,0
465_l1,2
465_r1,2
465_r2,2
467_l1,0
467_l2,0
467_r1,0
467_r2,0
468_l2,2
468_r1,2
468_r2,2
469_l1,0
469_l2,0
469_r1,0
469_r2,0
470_l2,1
471_l2,0
471_r1,1
472_l2,0
472_r2,0
473_l2,1
473_r2,1
474_r1,1
474_r2,1
475_l1,0
475_l2,0
475_r1,0
477_l1,0
477_l2,0
477_r1,0
477_r2,0
478_l1,0
478_r1,0
478_r2,0
479_l1,0
479_l2,0
479_r1,0
479_r2,0
480_l1,0
480_r1,1
480_r2,0
481_l2,2
482_l1,1
482_l2,1
482_r1,0
482_r2,0
483_l1,0
483_l2,0
483_r1,0
483_r2,0
484_l1,0
484_l2,0
484_r1,0
484_r2,0
485_l2,1
485_r2,1
486_l1,0
486_l2,0
486_r1,0
486_r2,0
487_l1,0
487_l2,0
487_r2,0
488_l1,0
488_l2,0
488_r1,0
488_r2,0
489_l1,0
489_l2,0
489_r1,0
489_r2,0
490_l2,1
491_l2,0
491_r2,0
492_l2,2
493_l1,0
493_l2,0
493_r1,0
493_r2,0
494_l2,0
494_r1,0
494_r2,0
495_l1,0
495_l2,0
495_r1,0
495_r2,0
496_r1,1
497_l1,0
497_l2,0
497_r1,0
497_r2,0
498_r1,2
499_l2,1
499_r1,1
500_l1,0
500_l2,0
500_r1,0
500_r2,0
